"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"","7-114","Alkyl (or alkenyl) (C 8-24) polyoxyalkylenealkyl (C 1-5) carboxylic acidsalt (K,Na,Ca)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","3-2694","Poly(1-3)alkyl (or alkenyl, C1-20) poly(3-1)benzylammonium","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","2-3659","N-{3-[octadecan(or hexadecan or tetradecan)amido]propyl}-N-methyl-2-[octadecanoyl(or hexadecanoyl or tetradecanoyl)oxy]ethylammonium chloride","Newly Announced Chemical Substances (notified by March 31, 2011)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"","6-1849","Poly(oxyperfluoro-n-alkylene[C=1,2])","Newly Announced Chemical Substances (notified by March 31, 2011)|Monitoring Chemical Substances","O"
"","6-898","Polymer of acrylic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","2-635","Salts of [2-(dodecanoyloxy)ethyl](ethyl)(dimethyl)ammonium","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"","7-1961","Poly (2-3) ethylenepolyamine-Adipic acid-Epichlorohydrin polycondensate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","9-795","Salt of hexadecyl(trimethyl)ammonium","Priority Assessment Chemical Substances (PACSs)|","O"
"","4-1977","Reaction products of 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane and phenol, which consist of 1:1 reaction products of 2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane and phenol as a major component(60% or more) (It is limited that the molecular weight is 460 or less.)","Priority Assessment Chemical Substances (PACSs)|Newly Announced Chemical Substances (notified on and after April 1, 2011)|","O"
"","8-55","Polyoxyethylene sorbitan fatty acid (C 7-23) ester","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","9-1958","Salts (K, Na, Ca) of alkyl (C6-14) diphenylethersulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"","3-326","[Hydroxy, carboxy, alkyl or alkenyl (C10-26)]-trialkyl or alkenyl (C1-20)(or hydroxyalkyl, benzyl) ammonium halide (Cl,Br)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","7-1951","Adipic acid-Diethylenetriamine polycondensate modified with epichlorohydrin","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","7-264","Polyoxyethylene polyalkylenepolyamine fatty acid (C8-24) poly (mono,di,tri, deca) amide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","7-110","Ester of fatty acid (C 8-24) with polyoxyalkylene sorbitan (or sorbitol orsorbide) ether","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"","6-3223","Copolymer of acrylamide / 2-acrylamido-2-hydroxyacetic acid / [2-(acryloyloxy)ethyl](benzyl)(dimethyl)ammonium chloride / 2-(dimethylamino)ethyl methacrylate / benzyl[2-(methacryloyloxy)ethyl](dimethyl)ammonium chloride / 2-methylidenesuccinic acid  (It is limited that the polymer is insoluble in fat-soluble solvent and usual solvent, and the content of the components having molecular weight less than 1,000 is 1% or less.)","Priority Assessment Chemical Substances (PACSs)|","O"
"50-00-0","2-482","Formaldehyde","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"50-29-3","4-910","1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane","Existing chemical substances|Class I specified chemical substance","O"
"56-23-5","2-38","Tetrachloromethane","Existing chemical substances|Class II specified chemical substance|","O"
"56-35-9","2-2027","1,1,1,3,3,3-Hexabutyldistannoxane","Existing chemical substances|Class I specified chemical substance","O"
"56-35-9","2-2242","1,1,1,3,3,3-Hexabutyldistannoxane","Existing chemical substances|Class I specified chemical substance","O"
"56-36-0","2-2264","Tributylstannyl acetate","Existing chemical substances|Class II specified chemical substance|","O"
"56-36-0","2-2245","Tributylstannyl acetate","Existing chemical substances|Class II specified chemical substance|","O"
"57-09-0","","Cetrimonium bromide","Priority Assessment Chemical Substances (PACSs)||","O"
"57-55-6","2-234","Propane-1,2-diol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"57-74-9","4-637","1,3,4,7,8,9,10,10-Octachlorotricyclo[5.2.1.0(2,6)]dec-8-ene","Existing chemical substances|Class I specified chemical substance","O"
"58-89-9","3-2250","r-1,c-2,t-3,c-4,c-5,t-6-Hexachlorocyclohexane","Existing chemical substances|Class I specified chemical substance","O"
"58-89-9","9-1652","r-1,c-2,t-3,c-4,c-5,t-6-Hexachlorocyclohexane","Existing chemical substances|Class I specified chemical substance","O"
"60-00-4","2-1263","Ethylenediaminetetraacetic acid","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"60-57-1","4-299","rel-(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-Hexachloro-10-oxapentacyclo[6.3.1.1(3,6).0(2,7).0(9,11)]tridec-4-ene","Existing chemical substances|Class I specified chemical substance|","O"
"62-53-3","3-105","Aniline","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"62-56-6","2-1733","Thiourea","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"64-18-6","2-670","Formic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"64-20-0","","N,N,N-Trimethylmethanaminium bromide","Priority Assessment Chemical Substances (PACSs)||","O"
"67-56-1","2-201","Methanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"67-63-0","2-207","Propan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"67-64-1","2-542","Acetone","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"67-66-3","2-37","Chloroform","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"68-12-2","2-680","N,N-Dimethylformamide","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"71-36-3","2-3049","1-Butanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"71-43-2","3-1","Benzene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"72-20-8","4-299","rel-(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-Hexachloro-10-oxapentacyclo[6.3.1.1(3,6).0(2,7).0(9,11)]tridec-4-ene","Existing chemical substances|Class I specified chemical substance|","O"
"74-83-9","2-39","Bromomethane","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"74-87-3","2-35","Methyl chloride","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"74-89-5","2-129","Methylamine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"74-90-8","1-138","Hydrogen cyanide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75-00-3","2-53","Ethyl chloride","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-01-4","2-102","Ethene, chloro-","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"75-04-7","2-130","Ethanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75-05-8","2-1508","Acetonitrile","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-07-0","2-485","Acetaldehyde","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-09-2","2-36","Dichloromethane","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"75-15-0","1-172","Carbon disulfide","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75-21-8","2-218","Oxirane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-44-5","1-124","Phosgene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-45-6","2-93","Chloro(difluoro)methane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"75-52-5","2-191","Nitromethane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"75-56-9","2-219","2-Methyloxirane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"75-57-0","","Tetramethylammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"75-58-1","","N,N,N-Trimethylmethanaminium iodide","Priority Assessment Chemical Substances (PACSs)||","O"
"75-59-2","2-186","Tetramethylammonium hydroxide","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)||","O"
"75-65-0","2-3049","2-Methylpropan-2-ol","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
