"¦CºÞ
½s¸¹
µù1
Listed No.","§Ç¸¹
µù1
Series No.","¤¤¤å¦WºÙ
Chinese Name","­^¤å¦WºÙµù2
English Name","¤À¤l¦¡µù2
Chemical Formula","¤Æ¾Ç¤åºKµù2
ªÀµn°O¸¹½X
CAS. Number","ºÞ¨î
¿@«×µù3
control concentration standard
w/w %","¤À¯Å¹B§@¶q
µù4
graded handling quantity
¡]¤½¤ç¡^","¬r©Ê
¤ÀÃþ
µù5
Toxicity Classify","¤½§i
¤é´Á"
1,1,¦h´âÁp­f,Polychlorinated biphenyls,"C12H10-xClx
¡]1¡Øx¡Ø10¡^",1336-36-3µ¥,0.1,50µù6,"1,2","77.06.22
88.07.19
88.12.24
89.10.25
89.12.20"
2,1,¥i´â¤¦,Chlordane,C10H6Cl8,57-74-9,1,50µù6,"1,3","77.06.24
88.07.19
88.12.24
89.10.25"
3,1,¥Ûºø,Asbestos,"5.5FeO,1.5MgO,8SiO2,H2O",1332-21-4,1µù7,500,2,"78.05.01
80.02.27
85.10.17
86.02.26
87.07.07
87.12.01
88.07.19
88.12.24
89.10.25
94.12.30
98.07.31
101.02.02
102.01.24
106.05.10"
4,1,¦a¯SÆF,Dieldrin,C12H8Cl6O,60-57-1,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
5,1,ºwºw®÷,"4,4-Dichlorodiphenyl-trichloroethane(DDT)",C14H9Cl5,50-29-3,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
6,1,¬r±þªâ,Toxaphene,C10H10Cl8,8001-35-2,1,50µù6,1,"78.05.02
88.07.19
88.12.24
89.10.25"
7,1,¤­´â×ô,Pentachlorophenol,C6Cl5OH,87-86-5,0.01,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
7,2,¤ë®Û»Ä¤­´â­fà­,Pentachlorophenyl laurate,C18H23Cl5O2,3772-94-9,0.01,50 µù 6,"1,3",107.06.28
8,1,¤­´â×ô¶u,Sodium pentachlorophenate,C6Cl5ONa,131-52-2,0.01,50µù6,3,"78.05.02
88.07.19
88.12.24
89.10.25"
9,1,¥Ò°ò¨E,Methylmercury,CH3Hg,22967-92-6,1,50µù6,1,"78.05.02
88.07.19
88.12.24
89.10.25"
10,1,¦w¯SÆF,Endrin,C12H8Cl6O,72-20-8,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
11,1,­¸§G¹F,Heptachlor,C10H5Cl7,76-44-8,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
12,1,ÂÎ¥²¦º,Hexachlorocyclohexane,C6H6Cl6,"319-84-6
319-85-7
319-86-8
6108-10-7",1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
13,1,ªü¯SÆF,Aldrin,C12H8Cl6,309-00-2,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
14,1,¤G·Í´â¤þÖJ,"1,2-Dibromo-3-chloropropane
(DBCP)",CH2BrCHBrCH2Cl,96-12-8,1,50µù6,"1,2,3","78.05.02
88.07.19
88.12.24
89.10.25"
15,1,ºÖ½çªQ,Leptophos,C6H5PS(OCH3)OC6H2BrCl2,21609-90-5,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
16,1,§J´â­f,Chlorobenzilate,C16H14Cl2O3,510-15-6,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
17,1,Å@¨¦,Nitrofen,C12H7Cl2NO3,1836-75-5,1,50µù6,2,"78.05.02
88.07.19
88.12.24
89.10.25"
18,1,¹F¿Õ±þ,Dinoseb,C6H2(NO2)2(C4H9)OH,88-85-7,1,50,"1,3","78.05.02
88.07.19
88.12.24
89.10.25
90.06.21"
19,1,ÆF¤¦,"Lindane (£^-BHC, or £^-HCH)",C6H6Cl6,58-89-9,1,50µù6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
22,1,¨E,Mercury,Hg,7439-97-6,95,50,1,"80.12.07
88.07.19
88.12.24
89.10.25
90.06.21
98.07.31
108.07.05"
23,1,¤­´âµv­f,Pentachloronitrobenzene,C6Cl5NO2,82-68-8,1,50µù6,1,"80.12.07
88.07.19
88.12.24
89.10.25"
24,1,¨È©Ô¥Íªø¯À,Daminozide,(CH3)2NNHCOCH2CH2COOH,1596-84-5,1,50µù6,1,"80.12.07
88.07.19
88.12.24
89.10.25"
25,1,Ùæ¤D²b,Cyanazine,C9H13ClN6,21725-46-2,1,50µù6,2,"80.12.07
88.07.19
88.12.24
89.10.25"
26,1,¼Ö¤DªQ,Fenchlorphos,C8H8Cl3O3PS,299-84-3,1,50µù6,1,"80.12.07
88.07.19
88.12.24
89.10.25"
27,1,¥|´â¤¦,Captafol,C10H9Cl4NO2S,2425-06-1,1,50µù6,"2,3","80.12.07
88.07.19
88.12.24
89.10.25"
28,1,»\´¶¤¦,Captan,C9H8Cl3NO2S,133-06-2,1,50µù6,"1,3","80.12.07
88.07.19
88.12.24
89.10.25
99.12.24"
29,1,ºÖº¸°ö,Folpet,C9H4Cl3NO2S,133-07-3,1,50µù6,3,"80.12.07
88.07.19
88.12.24
89.10.25"
30,1,¿ü?¤¦,Cyhexatin,(C6H11)3SnOH,13121-70-5,1,50µù6,3,"80.12.07
88.07.19
88.12.24
89.10.25"
31,1,£\-Ùæ·Í¥Ò­f,£\ -Bromobenzyl cyanide,C6H5CHBrCN,5798-79-8,1,50µù6,3,"81.08.08
88.07.19
88.12.24
89.10.25"
32,1,¤G´â¥ÒîÅ,Bis-Chloromethyl ether,(CH2Cl) 2O,542-88-1,1,50µù6,"2,3","81.08.08
88.07.19
88.12.24
89.10.25"
33,1,¹ï-µv°òÁp­f,P-Nitrobiphenyl,C6H5C6H4NO2,92-93-3,1,50µù6,"1,2","81.08.08
88.07.19
88.12.24
89.10.25"
34,1,¹ï-Ói°òÁp­f,P-Aminobiphenyl,C6H5C6H4NH2,92-67-1,1,50µù6,2,"81.08.08
88.07.19
88.12.24
89.10.25"
34,2,¹ï-Ói°òÁp­fÆQ»ÄÆQ,P-Aminobiphenyl Hydrochloride,C6H5C6H4NH2¡EHCl,2113-61-3,1,50µù6,2,"81.08.08
88.07.19
88.12.24
89.10.25"
35,1,2-?Ói,2-Naphthylamine,C10H7NH2,91-59-8 ,1,50µù6,"1,2","81.08.08
88.07.19
88.12.24
89.10.25"
35,2,2-?Ói¾L»ÄÆQ,2-Naphthylamine acetate,C10H7NH2¡ECH3COOH,553-00-4,1,50µù6,"1,2","81.08.08
88.07.19
88.12.24
89.10.25"
