Chemical_Group_Name,EC_No,CAS_No,Annex
"1,1,1,2-Tetrachloroethane","211-135-1","630-20-6","Annex I Part 1"
"1,1,1-Trichloroethane","200-756-3","71-55-6","Annex I Part 1"
"1,1,2,2-Tetrachloroethane","201-197-8","79-34-5","Annex I Part 1"
"1,1,2-Trichloroethane","201-166-9","79-00-5","Annex I Part 1"
"1,1-Dichloroethene","200-864-0","75-35-4","Annex I Part 1"
"1,2-dibromoethane (EDB)","203-444-5","106-93-4","Annex I Part 1
Annex I Part 3"
"1,3-dichloropropene","208-826-5","542-75-6","Annex I Part 1
Annex I Part 2"
"1,3-dichloropropene (CIS) (1Z)-1,3-dichloroprop-1-ene","233-195-8","10061-01-5","Annex I Part 1"
"2,4,5-T and its salts and esters","","","Annex I Part 1
Annex I Part 3"
"2,4-Dinitrotoluene (2,4-DNT)","204-450-0","121-14-2","Annex I Part 1
Annex I Part 2"
"2-Naphthyloxyacetic acid","204-380-0","120-23-0","Annex I Part 1
Annex I Part 2"
"2-aminobutane","237-732-7","13952-84-6","Annex I Part 1"
"2-naphthylamine and its salts","","","Annex I Part 1
Annex I Part 2"
"3-decen-2-one","234-059-0","10519-33-2","Annex I Part 1
Annex I Part 2"
"4,4'-Diaminodiphenylmethane (MDA)","202-974-4","101-77-9","Annex I Part 1
Annex I Part 2"
"4-aminobiphenyl and its salts","","","Annex I Part 1
Annex I Part 2"
"4-nitrobiphenyl","202-204-7","92-93-3","Annex I Part 1
Annex I Part 2"
"5-tert-butyl-2,4,6-trinitro-m-xylene","201-329-4","81-15-2","Annex I Part 1
Annex I Part 2"
"Acephate","250-241-2","30560-19-1","Annex I Part 1
Annex I Part 2"
"Acetochlor","251-899-3","34256-82-1","Annex I Part 1
Annex I Part 2"
"Acifluorfen","256-634-5","50594-66-6","Annex I Part 1"
"Alachlor","240-110-8","15972-60-8","Annex I Part 1
Annex I Part 3"
"Aldicarb","204-123-2","116-06-3","Annex I Part 1
Annex I Part 3"
"Aldrin","206-215-8","309-00-2","Annex I Part 3
Annex V Part 1"
"Ametryn","212-634-7","834-12-8","Annex I Part 1"
"Amitraz","251-375-4","33089-61-1","Annex I Part 1
Annex I Part 2"
"Amitrole","200-521-5","61-82-5","Annex I Part 1
Annex I Part 2"
"Anthraquinone","201-549-0","84-65-1","Annex I Part 1
Annex I Part 2"
"Arsenic compounds","","","Annex I Part 1"
"Asbestos fibres","","","Annex I Part 1
Annex I Part 3"
"Asbestos fibres: Chrysotile","","","Annex I Part 1
Annex I Part 2"
"Asulam","","","Annex I Part 1
Annex I Part 2"
"Atrazine","217-617-8","1912-24-9","Annex I Part 1
Annex I Part 2"
"Azinphos-ethyl","220-147-6","2642-71-9","Annex I Part 1
Annex I Part 2"
"Azinphos-methyl","201-676-1","86-50-0","Annex I Part 1
Annex I Part 3"
"Azocyclotin","255-209-1","41083-11-8","Annex I Part 1
Annex I Part 2"
"Benalaxyl","275-728-7","71626-11-4","Annex I Part 1
Annex I Part 2"
"Benfuracarb","","82560-54-1","Annex I Part 1
Annex I Part 2"
"Bensultap","","17606-31-4","Annex I Part 1"
"Benzene","200-753-7","71-43-2","Annex I Part 1"
"Benzene as a constituent of other substances in concentrations equal to, or greater than 0,1 % by weight","","","Annex I Part 1"
"Benzidine, its salts and benzidine derivatives","","","Annex I Part 1
Annex I Part 2"
