Chemical_Group_Name,EC_No,CAS_No,Annex
"(1α,2α,3β,4α,5β,6β)-1,2,3,4,5,6-hexachlorocyclohexane","206-270-8","319-84-6","Annex V Part 1"
"(1α,2β,3α,4β,5α,6β)-1,2,3,4,5,6-hexachlorocyclohexane","206-271-3","319-85-7","Annex V Part 1"
"Aldrin","206-215-8","309-00-2","Annex I Part 3
Annex V Part 1"
"Articles where the sum of the concentration of tetra-, penta-, hexa-, hepta- and decabromodiphenyl ether is at or above 500 mg/kg, except where the concentration is 500 mg/kg or more due to a higher concentration of decabromodiphenyl ether and the presence of decaBDE is in compliance with Regulation (EU) 2019/1021","","","Annex V Part 1"
"Chlordane","200-349-0","57-74-9","Annex I Part 3
Annex V Part 1"
"Chlordecone","205-601-3","143-50-0","Annex V Part 1"
"DDT","200-024-3","50-29-3","Annex I Part 3
Annex V Part 1"
"Dicofol","204-082-0","115-32-2","Annex V Part 1"
"Dieldrin","200-484-5","60-57-1","Annex I Part 3
Annex V Part 1"
"Endosulfan","204-079-4","115-29-7","Annex I Part 3
Annex V Part 1"
"Endrin","200-775-7","72-20-8","Annex V Part 1"
"HCH (mixed isomers)","210-168-9","608-73-1","Annex I Part 3
Annex V Part 1"
"Heptabromodiphenyl ether","273-031-2","68928-80-3","Annex V Part 1"
"Heptachlor","200-962-3","76-44-8","Annex I Part 3
Annex V Part 1"
"Hexabromobiphenyl","252-994-2","36355-01-8","Annex I Part 3
Annex V Part 1"
"Hexabromocyclododecane","","","Annex I Part 3
Annex V Part 1"
"Hexabromodiphenyl ether","253-058-6","36483-60-0","Annex V Part 1"
"Hexachlorobenzene","204-273-9","118-74-1","Annex I Part 3
Annex V Part 1"
"Hexachlorobutadiene","201-765-5","87-68-3","Annex V Part 1"
"Lindane","200-401-2","58-89-9","Annex I Part 3
Annex V Part 1"
"Mirex","219-196-6","2385-85-5","Annex V Part 1"
"Pentabromodiphenyl ether","251-084-2","32534-81-9","Annex V Part 1"
"Pentachlorobenzene","210-172-0","608-93-5","Annex V Part 1"
"Pentachlorophenol and its salts and esters","","","Annex I Part 1
Annex I Part 3
Annex V Part 1"
"Perfluorooctane sulfonic acid (PFOS), its salts and perfluorooctane sulfonyl fluoride","","","Annex V Part 1"
"Perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds (Annex V)","","","Annex V Part 1"
"Polychlorinated biphenyls (PCB)","","","Annex I Part 3
Annex V Part 1"
"Polychlorinated naphthalenes","","","Annex V Part 1"
"Short-chain chlorinated paraffins","","85535-84-8","Annex I Part 3
Annex V Part 1"
"Tetrabromodiphenyl ether","254-787-2","40088-47-9","Annex V Part 1"
"Toxaphene","232-283-3","8001-35-2","Annex I Part 3
Annex V Part 1"
